iter	RMSE
0	0.3661842937
1	0.3647226896
2	0.3625057527
3	0.3611480935
4	0.3592672228
5	0.3578384501
6	0.3563451251
7	0.3544404365
8	0.3527793864
9	0.3515159432
10	0.3497586308
11	0.3484204314
12	0.3468884178
13	0.3457609779
14	0.3444552535
15	0.3431900175
16	0.3416205871
17	0.3404608225
18	0.339099283
19	0.3375178579
20	0.3363798256
21	0.3350023673
22	0.3337844318
23	0.3329357983
24	0.3315439273
25	0.3306398297
26	0.3296048168
27	0.3282995804
28	0.3272640609
29	0.3260649279
30	0.325214903
31	0.3243898587
32	0.3233712246
33	0.3224280353
34	0.3215669819
35	0.3207088677
36	0.3200158676
37	0.3192323579
38	0.3184177288
39	0.3174048857
40	0.3164452304
41	0.3156925565
42	0.3148531951
43	0.3138201593
44	0.3131706799
45	0.3125712595
46	0.3117356938
47	0.3110054737
48	0.3101227446
49	0.3093665926
50	0.3087173688
51	0.3080230354
52	0.3072420782
53	0.3066773651
54	0.3060821039
55	0.3055404456
56	0.3048997109
57	0.3043529138
58	0.303784273
59	0.3032358257
60	0.3027830397
61	0.3022148447
62	0.3018836726
63	0.3012748192
64	0.3006783625
65	0.2999593157
66	0.2993553131
67	0.2988554519
68	0.2984463785
69	0.2978749149
70	0.2974248875
71	0.2967003441
72	0.2962238126
73	0.295500516
74	0.2949999369
75	0.2943389868
76	0.2938516681
77	0.293497681
78	0.292863726
79	0.2924662224
80	0.2917995463
81	0.291338476
82	0.2908084391
83	0.2902224235
84	0.2897919664
85	0.2892904309
86	0.2887140963
87	0.2881053265
88	0.2874951697
89	0.2869001371
90	0.2865518501
91	0.286083107
92	0.2855724763
93	0.2851728103
94	0.2847418452
95	0.2843232366
96	0.2836809626
97	0.2830889507
98	0.2826167019
99	0.282363976
100	0.281853927
101	0.2811530999
102	0.2805204346
103	0.2802976765
104	0.2799666383
105	0.2796352767
106	0.2790111382
107	0.2785660165
108	0.2782094818
109	0.2778345171
110	0.2776333614
111	0.2770977333
112	0.2765599438
113	0.2760387664
114	0.2755434767
115	0.274872005
116	0.2743170917
117	0.2739872906
118	0.2734154056
119	0.272975389
120	0.2724787998
121	0.2721085616
122	0.2715045747
123	0.2710343176
124	0.2708980974
125	0.2704366316
126	0.2701353373
127	0.2697459078
128	0.2695450125
129	0.2692639826
130	0.2688289015
131	0.2683796335
132	0.2678518384
133	0.2672979649
134	0.2670130446
135	0.2666140576
136	0.2661702802
137	0.2655493283
138	0.2651753465
139	0.2646322825
140	0.2644239911
141	0.2638594946
142	0.2634927537
143	0.2631708366
144	0.2628095291
145	0.2623198589
146	0.2621657488
147	0.2616453401
148	0.2612574591
149	0.2608127978
150	0.2604708827
151	0.2601100261
152	0.2596315836
153	0.2594145808
154	0.2589638745
155	0.2587142893
156	0.2583465275
157	0.2580471116
158	0.2578229751
159	0.2574585989
160	0.2571269308
161	0.2567034127
162	0.2561796554
163	0.2556978148
164	0.2552573902
165	0.2549769572
166	0.2547564105
167	0.2544257841
168	0.2541499144
169	0.2540522622
170	0.2534155271
171	0.2529089127
172	0.2527673907
173	0.2527352259
174	0.2523891819
175	0.2518760446
176	0.2515672639
177	0.2514238537
178	0.2511919702
179	0.2510353384
180	0.2506092849
181	0.2502385751
182	0.2498863238
183	0.2494713134
184	0.2492853963
185	0.2490553612
186	0.2489368596
187	0.2486967159
188	0.2484493549
189	0.2478890558
190	0.247690881
191	0.2474650353
192	0.2472471127
193	0.2470313941
194	0.2466466427
195	0.246329831
196	0.2460157636
197	0.245532687
198	0.2451609677
199	0.2448937369
200	0.2446570184
201	0.2443097581
202	0.2441667729
203	0.2439610675
204	0.2435626449
205	0.2431325804
206	0.2428030755
207	0.2423319227
208	0.2419785626
209	0.2417593114
210	0.2414392435
211	0.2410187518
212	0.2408548199
213	0.2404377621
214	0.2403330898
215	0.2399863
216	0.2396266018
217	0.2393891448
218	0.2393009659
219	0.2389844744
220	0.2387520085
221	0.2384590948
222	0.2381324659
223	0.2378829436
224	0.2375643825
225	0.2375086045
226	0.2373532984
227	0.237098986
228	0.2365424852
229	0.2362839632
230	0.2359275638
231	0.2356884605
232	0.2351517018
233	0.2347839093
234	0.2345234763
235	0.2341572288
236	0.2336190031
237	0.233525501
238	0.233166587
239	0.2328695329
240	0.2327740255
241	0.232298914
242	0.2319879648
243	0.2316405969
244	0.2315729091
245	0.2314785023
246	0.2313063924
247	0.2310910131
248	0.2307647479
